page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
16,34537,18 W/A Bullet Remix,https://genius.com/Murs-18-w-a-bullet-remix-lyrics,/Murs-18-w-a-bullet-remix-lyrics,https://images.genius.com/b213f80b392b613e227c48e4adb4d0a4.1000x1000x1.jpg,14,,605,Murs,https://genius.com/artists/Murs,https://images.genius.com/1c597d883d50c65606dd3a443f189f84.1000x1000x1.jpg
16,268964,Dead Zeppelin,https://genius.com/Dead-obies-dead-zeppelin-lyrics,/Dead-obies-dead-zeppelin-lyrics,https://images.genius.com/1f77311fd924c2e31d59f289bb6c5c94.1000x1000x1.jpg,9,1,54334,Dead Obies,https://genius.com/artists/Dead-obies,https://images.genius.com/733d21db4793adf66d64bf5607272c99.750x750x1.jpg
16,4375792,Woman like You,https://genius.com/Melissa-etheridge-woman-like-you-lyrics,/Melissa-etheridge-woman-like-you-lyrics,https://images.genius.com/71f5e7b44a3d2238782075f8ab3d2531.1000x1000x1.jpg,0,,40112,Melissa Etheridge,https://genius.com/artists/Melissa-etheridge,https://images.genius.com/9f2b743da5020e38e9a257ad62d12422.303x303x1.jpg
17,4454615,Rise (Solo Version),https://genius.com/Gawne-rise-solo-version-lyrics,/Gawne-rise-solo-version-lyrics,https://images.genius.com/ec768ed1289da2a20a457ad5fe735659.640x640x1.jpg,0,,1712233,GAWNE,https://genius.com/artists/Gawne,https://images.genius.com/c712c6373e77761c4974651bacca6786.1000x1000x1.jpg
17,2955072,Yours Truly (Aaron Jackson Remix),https://genius.com/Mr-fijiwiji-yours-truly-aaron-jackson-remix-lyrics,/Mr-fijiwiji-yours-truly-aaron-jackson-remix-lyrics,https://images.genius.com/0b1da0918a36dddfba6f3ab8ecaa12df.1000x1000x1.jpg,0,,452257,Mr FijiWiji,https://genius.com/artists/Mr-fijiwiji,https://images.genius.com/173a1842b828002aa5163434e1f87d6c.558x558x1.jpg
17,68866,Blake Griffin,https://genius.com/Moosh-and-twist-blake-griffin-lyrics,/Moosh-and-twist-blake-griffin-lyrics,https://images.genius.com/b6c90fa6224f9a3483764f65d9e8b2e3.1000x1000x1.jpg,9,,11541,Moosh & Twist,https://genius.com/artists/Moosh-and-twist,https://images.genius.com/80161e38a208461c5ba495e03d119140.1000x1000x1.png
17,1414927,I Hate Led Zeppelin (Demo Version),https://genius.com/Screeching-weasel-i-hate-led-zeppelin-demo-version-lyrics,/Screeching-weasel-i-hate-led-zeppelin-demo-version-lyrics,https://images.genius.com/3b95c333fb93db0d7766ef5f930043fa.567x567x1.jpg,2,,353979,Screeching Weasel,https://genius.com/artists/Screeching-weasel,https://images.genius.com/3c11d9f8f4cfa76f853ea7339a2c0770.797x797x1.jpg
17,3264815,Gib mir nur einen Grund,https://genius.com/Lakmann-one-gib-mir-nur-einen-grund-lyrics,/Lakmann-one-gib-mir-nur-einen-grund-lyrics,https://images.genius.com/33c878598ab6192517d409ec69063d6a.1000x1000x1.jpg,0,,50453,Lakmann One,https://genius.com/artists/Lakmann-one,https://images.genius.com/ba603a1bd5023f2371b4ac0395083f82.630x294x1.png
17,857805,Loud Music,https://genius.com/Michelle-branch-loud-music-lyrics,/Michelle-branch-loud-music-lyrics,https://images.genius.com/0a65be6f1732982d93f782b165556a39.1000x994x1.jpg,1,,71517,Michelle Branch,https://genius.com/artists/Michelle-branch,https://images.genius.com/874b2a71c27a9a8a393131a71b2ddedd.900x900x1.jpg
17,4639317,Man Vs God,https://genius.com/Planet-of-zeus-man-vs-god-lyrics,/Planet-of-zeus-man-vs-god-lyrics,https://images.genius.com/3ad1393171787a4b51708a322a74c466.1000x1000x1.jpg,0,,202597,Planet of Zeus,https://genius.com/artists/Planet-of-zeus,https://images.genius.com/ae988b35c8ba8576ec05704d4e25267c.520x520x1.jpg
17,80602,4th Chapter,https://genius.com/Jared-evan-4th-chapter-lyrics,/Jared-evan-4th-chapter-lyrics,https://images.genius.com/243842153a6d54d4827dc0b357f6af6b.600x600x1.jpg,1,,20142,Jared Evan,https://genius.com/artists/Jared-evan,https://images.genius.com/8b4cc50a18433134428553b79c9507a0.1000x1000x1.jpg
17,693309,High,https://genius.com/Illy-high-lyrics,/Illy-high-lyrics,https://images.genius.com/ab647b150bba99065dde407321e36971.500x500x1.jpg,7,,6644,Illy,https://genius.com/artists/Illy,https://images.genius.com/9597ae3e76ac2519dfd93274676de285.666x666x1.jpg
17,2065471,Take Me Home,https://genius.com/Mickey-avalon-take-me-home-lyrics,/Mickey-avalon-take-me-home-lyrics,https://images.genius.com/00c6934fec89ac37abf7debe4d37af82.640x640x1.jpg,1,,7710,Mickey Avalon,https://genius.com/artists/Mickey-avalon,https://images.genius.com/5fca40bab110bcbe914c90e9a371a1ed.226x226x1.jpg
18,4984742,PICO,https://genius.com/Brandon-banks-pico-lyrics,/Brandon-banks-pico-lyrics,https://images.genius.com/176b04b9de7c952ee3d69aee0427c654.500x500x1.jpg,1,,1193341,Brandon Banks,https://genius.com/artists/Brandon-banks,https://images.genius.com/cb9c984a97bba5dca9e47b46894f58e3.1000x1000x1.jpg
18,1794543,No Opinion,https://genius.com/Bowling-for-soup-no-opinion-lyrics,/Bowling-for-soup-no-opinion-lyrics,https://images.genius.com/f7315b186f2bc56cc97654c3036e37d6.640x640x1.jpg,1,,22121,Bowling for Soup,https://genius.com/artists/Bowling-for-soup,https://images.genius.com/10a2f8d49eef8d3d23ee4924174f8f00.640x360x1.jpg
18,92457,Black Rosary 8AM,https://genius.com/Chino-xl-black-rosary-8am-lyrics,/Chino-xl-black-rosary-8am-lyrics,https://images.genius.com/5f2ccc91e72b0818a5bc539b86f16333.500x500x1.jpg,3,1,487,Chino XL,https://genius.com/artists/Chino-xl,https://images.genius.com/ea06b5d7096f75cf82c789c18688a975.495x495x1.jpg
18,1995539,Standard American,https://genius.com/Gunnar-and-the-grizzly-boys-standard-american-lyrics,/Gunnar-and-the-grizzly-boys-standard-american-lyrics,https://images.genius.com/82d6e4c28c07ce2654f5dbea028f431c.268x268x1.jpg,1,,1449510,Gunnar & The Grizzly Boys,https://genius.com/artists/Gunnar-and-the-grizzly-boys,https://images.genius.com/af7f909cea7e02497ce1cab37a98f257.1000x1000x1.jpg
18,821620,Fear,https://genius.com/Punch-fear-lyrics,/Punch-fear-lyrics,https://s3.amazonaws.com/rapgenius/1342746457_image.jpg,5,2,2538,Punch,https://genius.com/artists/Punch,https://s3.amazonaws.com/rapgenius/1342746457_image.jpg
18,499532,Sensual Club,https://genius.com/White-2115-sensual-club-lyrics,/White-2115-sensual-club-lyrics,https://images.genius.com/1efbd8f4e4c5c4bfcf109dfc0bc2219c.465x465x1.png,3,,989939,White 2115,https://genius.com/artists/White-2115,https://images.genius.com/79812836b458d72fc3810877eb60a1b2.1000x1000x1.jpg
18,104923,Beauty Of A Day,https://genius.com/Apollo-brown-beauty-of-a-day-lyrics,/Apollo-brown-beauty-of-a-day-lyrics,https://images.genius.com/af1bc016789833ba08cdd2f598ceaf87.500x500x1.jpg,1,1,3154,Apollo Brown,https://genius.com/artists/Apollo-brown,https://s3.amazonaws.com/rapgenius/1364972021_l.jpg
18,3967359,Belial,https://genius.com/Alla-xul-elu-belial-lyrics,/Alla-xul-elu-belial-lyrics,https://images.genius.com/93f01bb0fc12c34e089ce8f629efe8f4.386x386x1.png,0,3,1437918,Alla Xul Elu,https://genius.com/artists/Alla-xul-elu,https://images.genius.com/ce008d2010b42be706cb58c929b3a3ae.535x535x1.jpg
18,3761015,Мне 20 лет (Mne 20 let),https://genius.com/Alexander-vasilyev-20-mne-20-let-lyrics,/Alexander-vasilyev-20-mne-20-let-lyrics,https://images.genius.com/2457cc3c840a30cb2ced89a1ebb48148.1000x1000x1.jpg,0,,1329744,Александр Васильев (Alexander Vasilyev),https://genius.com/artists/Alexander-vasilyev,https://images.genius.com/af01583f7be7c02ce43f1f7783aad16d.599x599x1.jpg
18,445761,Inspiration Island,https://genius.com/Drapht-inspiration-island-lyrics,/Drapht-inspiration-island-lyrics,https://images.genius.com/2b3cc71ff4d86c2e9799011d8b46a79f.600x600x1.jpg,2,1,5536,Drapht,https://genius.com/artists/Drapht,https://images.genius.com/cacfabd39c1bd53facf347c98b530e1e.1000x1000x1.jpg
19,3299173,Rita Pt.2,https://genius.com/Card-rita-pt2-lyrics,/Card-rita-pt2-lyrics,https://images.genius.com/99e5fead81e4c92ecd211e1759bcdcf5.1000x1000x1.jpg,0,,547658,CARD,https://genius.com/artists/Card,https://images.genius.com/cdd9e76527dc3107c335aa3ef81a64f8.1000x1000x1.jpg
19,529143,The Wolf of Wall Street,https://genius.com/Jayda-and-dahomie-p-the-wolf-of-wall-street-lyrics,/Jayda-and-dahomie-p-the-wolf-of-wall-street-lyrics,https://assets.genius.com/images/default_cover_image.png?1602794602,8,,233486,Jayda & DaHomie P,https://genius.com/artists/Jayda-and-dahomie-p,https://assets.genius.com/images/default_avatar_300.png?1602794602
19,342244,Mr. Rock N Roll,https://genius.com/Kid-rock-mr-rock-n-roll-lyrics,/Kid-rock-mr-rock-n-roll-lyrics,https://images.genius.com/f01c47152bbb9903a36d88326682f374.1000x1000x1.jpg,1,,1566,Kid Rock,https://genius.com/artists/Kid-rock,https://images.genius.com/1fbf9a936a0cdaed4ea023465d6655c6.500x500x1.jpg
19,517948,"Dear Leap Year,",https://genius.com/Miles-hodges-dear-leap-year-annotated,/Miles-hodges-dear-leap-year-annotated,https://assets.genius.com/images/default_cover_image.png?1602794602,1,,47286,Miles Hodges,https://genius.com/artists/Miles-hodges,https://assets.genius.com/images/default_avatar_300.png?1602794602
19,53531,In My Backyard,https://genius.com/Dead-celebrity-status-in-my-backyard-lyrics,/Dead-celebrity-status-in-my-backyard-lyrics,https://images.rapgenius.com/02eb3bc60ce6f4487474b399502c7f4c.640x640x1.jpg,36,,12871,Dead Celebrity Status,https://genius.com/artists/Dead-celebrity-status,https://images.genius.com/ba98c1d5c4e056e197ba1116c77e0f4a.367x367x1.jpg
19,523452,Nierówności,https://genius.com/Trueszczurs-nierownosci-lyrics,/Trueszczurs-nierownosci-lyrics,https://images.genius.com/cfe7ea1ec20440a37f8e78591a86e107.1000x1000x1.jpg,10,,230755,Trueszczurs,https://genius.com/artists/Trueszczurs,https://assets.genius.com/images/default_avatar_300.png?1602794602
19,3309414,Yohji Yamamoto,https://genius.com/Mikey-the-magician-yohji-yamamoto-lyrics,/Mikey-the-magician-yohji-yamamoto-lyrics,https://images.genius.com/663705633dc035d1c4f9c144b5cbfa6d.500x500x1.jpg,0,,51171,Mikey the Magician,https://genius.com/artists/Mikey-the-magician,https://images.genius.com/1ccc5a4015bafc2c592e80ef1df4c667.400x400x1.jpg
19,78371,Minyan,https://genius.com/Soul-khan-minyan-lyrics,/Soul-khan-minyan-lyrics,https://images.genius.com/eeb25ef5d567b28f3caee40c16961897.705x735x1.jpg,12,,1006,Soul Khan,https://genius.com/artists/Soul-khan,https://s3.amazonaws.com/rapgenius/1305578373_Soul-Khan1.jpg
19,3789393,Compound,https://genius.com/Trellion-compound-lyrics,/Trellion-compound-lyrics,https://images.genius.com/6363bf98115228dd556bc7f76f30232b.1000x562x1.jpg,1,1,636053,Trellion,https://genius.com/artists/Trellion,https://images.genius.com/1ae840c3deda2af241de6a0155a14ba4.488x488x1.jpg
20,60366,Shotgun,https://genius.com/Copywrite-shotgun-lyrics,/Copywrite-shotgun-lyrics,https://images.genius.com/093a04d8cbfbcf1a7dacb097dc2e15ca.280x280x1.jpg,1,2,2374,Copywrite,https://genius.com/artists/Copywrite,https://s3.amazonaws.com/rapgenius/copywrite1.jpg
20,4473628,Bombay,https://genius.com/Frank-la-tanica-bombay-lyrics,/Frank-la-tanica-bombay-lyrics,https://images.genius.com/b3904e8d92d71cec82dc30f27b9bc12e.1000x563x1.jpg,5,1,1150242,Frank La Tanica,https://genius.com/artists/Frank-la-tanica,https://images.genius.com/b4c2cc24a90a1e125a5da74774c13bb6.1000x1000x1.png
20,69103,Art of Darkness,https://genius.com/Mc-lars-art-of-darkness-lyrics,/Mc-lars-art-of-darkness-lyrics,https://images.genius.com/c2f256ed836e42365100c0cb3d8f5233.700x700x1.jpg,2,,7946,MC Lars,https://genius.com/artists/Mc-lars,https://images.genius.com/c12ab5715dc57e20096d1b28d927faa0.202x202x1.jpg
20,394015,Intro (Peri-G) / Wind Before the Storm,https://genius.com/Rodan-intro-peri-g-wind-before-the-storm-lyrics,/Rodan-intro-peri-g-wind-before-the-storm-lyrics,https://images.rapgenius.com/39bbe94aa3bea92044c999cc5574d957.200x200x1.jpg,4,,8022,Rodan,https://genius.com/artists/Rodan,https://images.genius.com/d6b5eed0d4fb8a8fd78b40c9c74073a1.465x465x1.jpg
20,2476175,Genius Dream Album: Lady Gaga by Freeus,https://genius.com/Genius-dream-album-genius-dream-album-lady-gaga-by-freeus-annotated,/Genius-dream-album-genius-dream-album-lady-gaga-by-freeus-annotated,https://images.genius.com/f223013191a4f3ddd391506036e2f306.768x763x1.jpg,44,8,670634,Genius Dream Album,https://genius.com/artists/Genius-dream-album,https://assets.genius.com/images/default_avatar_300.png?1602794602
20,924308,King James Version,https://genius.com/Billy-bragg-king-james-version-lyrics,/Billy-bragg-king-james-version-lyrics,https://images.genius.com/95d438d17331b54d5acf17390e30b4c9.1000x1000x1.jpg,1,,22158,Billy Bragg,https://genius.com/artists/Billy-bragg,https://images.genius.com/b1debae66821b2f4fdde79982059f683.1000x1000x1.png
20,1794659,By Your Laws,https://genius.com/A-broken-silence-by-your-laws-lyrics,/A-broken-silence-by-your-laws-lyrics,https://images.genius.com/621f659027eb90b3969d91a4457d677c.499x499x1.jpg,4,,17801,A Broken Silence,https://genius.com/artists/A-broken-silence,https://images.genius.com/fc9b1cd95c77e6172e3357641bdfee1b.399x399x1.jpg
20,65025,Only Sleeping,https://genius.com/Denizen-kane-only-sleeping-lyrics,/Denizen-kane-only-sleeping-lyrics,https://images.genius.com/38aa737e35d535411b46930110db9943.985x985x1.jpg,1,,17072,Denizen Kane,https://genius.com/artists/Denizen-kane,https://images.genius.com/38aa737e35d535411b46930110db9943.985x985x1.jpg
20,5234206,Halfway (Remix),https://genius.com/James-blunt-halfway-remix-lyrics,/James-blunt-halfway-remix-lyrics,https://images.genius.com/f9c6a88b2934654d0f669ea5f54abe9b.1000x1000x1.png,0,,11622,James Blunt,https://genius.com/artists/James-blunt,https://images.genius.com/32cd853e0265b209c44d711a2fd7a0d3.1000x1000x1.jpg
20,3570560,The Truth,https://genius.com/Racket-county-the-truth-lyrics,/Racket-county-the-truth-lyrics,https://images.genius.com/9e0b3df9ead12eea4f7d65b9fcacc4b6.355x355x1.jpg,10,,1402752,Racket County,https://genius.com/artists/Racket-county,https://images.genius.com/560ad1d2fbec2800ce17ca122ebf239c.837x837x1.jpg
21,3692590,Cactus,https://genius.com/Youth-service-cactus-lyrics,/Youth-service-cactus-lyrics,https://images.genius.com/cf622b7cc93599eb2b2731fda60b4ce7.500x500x1.jpg,8,,1463939,Youth // Service,https://genius.com/artists/Youth-service,https://images.genius.com/c140204676cd89af634789790527bf24.1000x1000x1.jpg
21,166889,Silverback Mountain King,https://genius.com/Bigg-jus-silverback-mountain-king-lyrics,/Bigg-jus-silverback-mountain-king-lyrics,https://images.genius.com/f1992859c2074b9952b523370eb5a11b.800x800x1.jpg,10,,7866,Bigg Jus,https://genius.com/artists/Bigg-jus,https://images.genius.com/9d5a39c7fefa77eec6d1220a45e0e8ec.432x432x1.jpg
21,8482,Party Over Here,https://genius.com/Atmosphere-party-over-here-lyrics,/Atmosphere-party-over-here-lyrics,https://images.genius.com/e8f1311e26eca39939846d66c21c32a5.1000x1000x1.jpg,3,,385,Atmosphere,https://genius.com/artists/Atmosphere,https://images.genius.com/ee61b85ae0112281b5fb9f68c826518e.1000x1000x1.png
